seed,target,method,setting,family,eer,auc,acc,n,minutes
2,asvspoof2019,oracle,transductive,xlsr,1.04,0.9991,97.99,5580,4.8
2,asvspoof2019,source,inductive,xlsr,3.549,0.9934,78.6,2790,0
2,asvspoof2019,ours,inductive,xlsr,3.228,0.9957,90.72,2790,0
2,asvspoof2019,mlaad_heldout_lang_recall,diagnostic,xlsr,,,97.85,2000,0
2,asvspoof2019,source,transductive,rawnet2lite,46.775,0.552,53.03,5580,0
2,dataset2,source,transductive,xlsr,33.506,0.7374,66.18,4447,0.7
2,dataset2,tent,transductive,xlsr,33.325,0.7332,67.51,4447,3.8
2,dataset2,st_only,transductive,xlsr,33.372,0.726,66.88,4447,6.7
2,dataset2,ours,transductive,xlsr,34.136,0.7319,66.09,4447,9.7
2,dataset2,bn_only,transductive,xlsr,33.506,0.7374,66.18,4447,1.4
2,dataset2,oracle,transductive,xlsr,14.099,0.9411,84.42,4447,3.8
2,dataset2,source,inductive,xlsr,32.599,0.7457,67.18,2224,0
2,dataset2,ours,inductive,xlsr,32.959,0.7428,67.09,2224,0
2,dataset2,mlaad_heldout_lang_recall,diagnostic,xlsr,,,97.8,2000,0
2,dataset2,source,transductive,rawnet2lite,46.819,0.536,53.43,4447,0
2,in_the_wild,source,transductive,xlsr,13.217,0.9396,71.53,6000,0.8
2,in_the_wild,tent,transductive,xlsr,34.75,0.6527,63.0,6000,2.4
2,in_the_wild,st_only,transductive,xlsr,11.317,0.9541,88.15,6000,4.1
2,in_the_wild,ours,transductive,xlsr,9.9,0.966,89.53,6000,6.0
2,in_the_wild,bn_only,transductive,xlsr,13.217,0.9396,71.53,6000,0.9
2,in_the_wild,oracle,transductive,xlsr,3.867,0.9941,94.12,6000,2.3
2,in_the_wild,source,inductive,xlsr,13.933,0.9341,71.57,3000,0
2,in_the_wild,ours,inductive,xlsr,9.166,0.9716,90.87,3000,0
2,in_the_wild,mlaad_heldout_lang_recall,diagnostic,xlsr,,,98.45,2000,0
2,in_the_wild,source,transductive,rawnet2lite,44.633,0.5764,55.98,6000,0
2,arabic,source,transductive,xlsr,22.101,0.8606,66.84,5570,0.4
2,arabic,tent,transductive,xlsr,49.78,0.5022,53.86,5570,2.2
2,arabic,st_only,transductive,xlsr,21.831,0.8635,77.92,5570,3.8
2,arabic,ours,transductive,xlsr,20.447,0.877,79.19,5570,5.6
2,arabic,bn_only,transductive,xlsr,22.101,0.8606,66.84,5570,0.8
2,arabic,oracle,transductive,xlsr,9.175,0.9699,88.06,5570,2.2
2,arabic,source,inductive,xlsr,21.972,0.8603,67.07,2785,0
2,arabic,ours,inductive,xlsr,21.15,0.8731,79.07,2785,0
2,arabic,mlaad_heldout_lang_recall,diagnostic,xlsr,,,96.6,2000,0
2,arabic,source,transductive,rawnet2lite,59.064,0.394,45.57,5570,0
3,asvspoof2019,source,transductive,xlsr,3.638,0.9932,78.96,5580,0.4
3,asvspoof2019,tent,transductive,xlsr,49.516,0.5048,53.76,5580,2.2
3,asvspoof2019,st_only,transductive,xlsr,3.156,0.9949,96.92,5580,3.8
3,asvspoof2019,ours,transductive,xlsr,2.634,0.996,89.87,5580,5.6
3,asvspoof2019,bn_only,transductive,xlsr,3.638,0.9932,78.96,5580,0.8
3,asvspoof2019,oracle,transductive,xlsr,0.824,0.9995,96.79,5580,2.2
3,asvspoof2019,source,inductive,xlsr,3.556,0.9943,78.49,2790,0
3,asvspoof2019,ours,inductive,xlsr,2.15,0.9968,91.4,2790,0
3,asvspoof2019,mlaad_heldout_lang_recall,diagnostic,xlsr,,,93.3,2000,0
3,asvspoof2019,source,transductive,rawnet2lite,45.86,0.5632,53.06,5580,0
3,dataset2,source,transductive,xlsr,35.126,0.7115,65.53,4447,0.3
3,dataset2,tent,transductive,xlsr,34.476,0.7346,61.7,4447,1.7
3,dataset2,st_only,transductive,xlsr,35.35,0.702,64.79,4447,3.0
3,dataset2,ours,transductive,xlsr,36.114,0.7045,63.46,4447,4.4
3,dataset2,bn_only,transductive,xlsr,35.126,0.7115,65.53,4447,0.7
3,dataset2,oracle,transductive,xlsr,12.008,0.9516,79.6,4447,1.7
3,dataset2,source,inductive,xlsr,35.027,0.7181,65.96,2224,0
3,dataset2,ours,inductive,xlsr,35.204,0.7187,65.38,2224,0
3,dataset2,mlaad_heldout_lang_recall,diagnostic,xlsr,,,89.65,2000,0
3,dataset2,source,transductive,rawnet2lite,48.055,0.5073,51.5,4447,0
3,in_the_wild,source,transductive,xlsr,14.05,0.9221,70.87,6000,0.4
3,in_the_wild,tent,transductive,xlsr,37.567,0.6243,60.53,6000,2.4
3,in_the_wild,st_only,transductive,xlsr,12.733,0.9248,86.25,6000,4.1
3,in_the_wild,ours,transductive,xlsr,11.267,0.9583,88.45,6000,6.0
3,in_the_wild,bn_only,transductive,xlsr,14.05,0.9221,70.87,6000,0.9
3,in_the_wild,oracle,transductive,xlsr,3.883,0.9941,85.6,6000,2.3
3,in_the_wild,source,inductive,xlsr,13.8,0.9227,71.23,3000,0
3,in_the_wild,ours,inductive,xlsr,11.766,0.9534,87.93,3000,0
3,in_the_wild,mlaad_heldout_lang_recall,diagnostic,xlsr,,,96.9,2000,0
3,in_the_wild,source,transductive,rawnet2lite,39.167,0.6501,60.22,6000,0
3,arabic,source,transductive,xlsr,20.52,0.8657,58.44,5570,0.4
3,arabic,tent,transductive,xlsr,49.689,0.5031,53.88,5570,2.2
3,arabic,st_only,transductive,xlsr,21.239,0.8598,78.67,5570,3.8
3,arabic,ours,transductive,xlsr,20.233,0.8694,78.6,5570,5.6
3,arabic,bn_only,transductive,xlsr,20.52,0.8657,58.44,5570,0.8
3,arabic,oracle,transductive,xlsr,9.083,0.9707,85.39,5570,2.2
3,arabic,source,inductive,xlsr,20.465,0.8652,58.82,2785,0
3,arabic,ours,inductive,xlsr,21.076,0.869,79.1,2785,0
3,arabic,mlaad_heldout_lang_recall,diagnostic,xlsr,,,98.9,2000,0
3,arabic,source,transductive,rawnet2lite,61.687,0.3495,47.92,5570,0
4,asvspoof2019,source,transductive,xlsr,5.502,0.9891,82.19,5580,0.4
4,asvspoof2019,tent,transductive,xlsr,3.422,0.991,96.38,5580,2.2
4,asvspoof2019,st_only,transductive,xlsr,4.068,0.991,95.63,5580,3.8
4,asvspoof2019,ours,transductive,xlsr,3.1,0.9957,90.23,5580,5.6
4,asvspoof2019,bn_only,transductive,xlsr,5.502,0.9891,82.19,5580,0.8
4,asvspoof2019,oracle,transductive,xlsr,0.732,0.9993,99.25,5580,2.2
4,asvspoof2019,source,inductive,xlsr,5.626,0.9892,82.65,2790,0
4,asvspoof2019,ours,inductive,xlsr,3.046,0.9959,94.05,2790,0
4,asvspoof2019,mlaad_heldout_lang_recall,diagnostic,xlsr,,,97.25,2000,0
4,asvspoof2019,source,transductive,rawnet2lite,51.791,0.4806,47.9,5580,0
4,dataset2,source,transductive,xlsr,33.978,0.7162,65.75,4447,0.3
4,dataset2,tent,transductive,xlsr,33.652,0.6691,64.88,4447,1.7
4,dataset2,st_only,transductive,xlsr,33.798,0.6955,65.23,4447,3.0
4,dataset2,ours,transductive,xlsr,33.799,0.7213,66.07,4447,4.4
4,dataset2,bn_only,transductive,xlsr,33.978,0.7162,65.75,4447,0.7
4,dataset2,oracle,transductive,xlsr,14.819,0.9305,81.02,4447,1.7
4,dataset2,source,inductive,xlsr,33.139,0.7174,66.68,2224,0
4,dataset2,ours,inductive,xlsr,33.273,0.7211,65.47,2224,0
4,dataset2,mlaad_heldout_lang_recall,diagnostic,xlsr,,,96.3,2000,0
4,dataset2,source,transductive,rawnet2lite,53.407,0.4448,46.19,4447,0
4,in_the_wild,source,transductive,xlsr,14.867,0.9344,76.27,6000,0.4
4,in_the_wild,tent,transductive,xlsr,16.167,0.8481,82.08,6000,2.4
4,in_the_wild,st_only,transductive,xlsr,12.9,0.9464,86.87,6000,4.1
4,in_the_wild,ours,transductive,xlsr,12.4,0.9531,87.43,6000,6.0
4,in_the_wild,bn_only,transductive,xlsr,14.867,0.9344,76.27,6000,0.9
4,in_the_wild,oracle,transductive,xlsr,4.5,0.9913,88.73,6000,2.3
4,in_the_wild,source,inductive,xlsr,15.468,0.9296,75.2,3000,0
4,in_the_wild,ours,inductive,xlsr,13.832,0.9446,86.13,3000,0
4,in_the_wild,mlaad_heldout_lang_recall,diagnostic,xlsr,,,95.95,2000,0
4,in_the_wild,source,transductive,rawnet2lite,37.717,0.6678,59.65,6000,0
